actual_ranking,team,actual_elo,average_ranking,average_elo,one_year_change_ranking,one_year_change_elo,matches_total,matches_home,matches_away,matches_neutral,matches_wins,matches_losses,matches_draws,goals_for,goals_against
89,Northern Cyprus,1457,84,1463,0,0,17,5,3,9,9,6,2,30,23
90,Luxembourg,1450,108,1256,+2,−3,475,258,201,16,55,358,62,309,1225
91,Curaçao,1434,97,1381,+37,+104,500,174,177,149,202,174,124,884,771
92,Kazakhstan,1431,101,1420,+6,+16,271,103,122,46,70,142,59,284,451
92,Suriname,1431,84,1404,+8,+26,543,231,222,90,239,175,129,986,740
94,China,1428,50,1577,+15,+45,763,271,265,227,369,231,163,1422,862
94,Benin,1428,109,1356,+5,+20,353,129,142,82,87,181,85,365,618
96,Kurdistan,1425,100,1425,+1,0,4,2,0,2,3,0,1,12,3
97,Qatar,1421,93,1416,−21,−109,699,328,147,224,289,233,177,993,826
98,Libya,1420,82,1470,+9,+35,459,164,166,129,166,185,108,621,611
99,Gambia,1419,118,1309,+6,+33,299,108,100,91,81,136,82,319,433
100,Bahrain,1414,109,1349,−12,−54,637,218,159,260,223,248,166,780,826
101,Gabon,1401,95,1413,−8,−51,462,184,154,124,159,174,129,551,567
102,Niger,1394,133,1239,+24,+58,291,100,117,74,65,157,69,287,516
102,Uganda,1394,75,1482,+8,+13,736,251,257,228,304,238,194,1108,887
104,Equatorial Guinea,1391,151,1159,−18,−86,195,80,64,51,56,95,44,182,287
105,Trinidad and Tobago,1388,61,1505,−4,−13,871,344,364,163,375,303,193,1446,1127
106,Madagascar,1380,104,1366,+29,+62,357,120,121,116,136,143,78,494,536
107,Armenia,1378,102,1418,+3,−3,282,114,132,36,66,158,58,282,538
108,North Korea,1375,63,1566,+4,−3,417,50,149,218,175,127,115,641,447
109,Zimbabwe,1372,78,1462,+10,+12,552,190,223,139,207,184,161,738,663
109,Thailand,1372,112,1317,−5,−15,934,389,199,346,366,358,210,1487,1408
111,Zambia,1371,60,1551,−6,−15,879,282,360,237,393,261,225,1389,954
112,Faroe Islands,1368,122,1252,+35,+98,282,119,140,23,50,195,37,212,641
113,Kenya,1363,90,1379,+2,−9,781,291,283,207,294,293,194,1078,1062
113,Comoros,1363,186,941,−17,−71,158,29,35,94,40,81,37,144,246
115,Indonesia,1362,101,1361,+4,+2,783,251,192,340,298,332,153,1316,1269
116,Togo,1356,90,1439,0,−15,494,179,198,117,157,210,127,534,674
117,Sierra Leone,1354,104,1368,+13,+29,336,116,140,80,98,149,89,330,471
118,Mozambique,1352,116,1332,−33,−126,443,166,176,101,139,193,111,466,584
118,Estonia,1352,94,1353,−1,−18,540,230,255,55,133,287,120,532,962
120,Vietnam,1351,120,1298,+1,−8,525,174,131,220,222,200,103,922,771
121,Sudan,1350,90,1444,−19,−46,553,154,204,195,187,225,141,628,730
122,Reunion,1345,125,1184,+1,0,139,53,38,48,55,55,29,237,252
123,El Salvador,1342,72,1471,−20,−52,687,210,209,268,227,306,154,863,1023
124,Guadeloupe,1338,91,1408,−11,−38,293,92,89,112,128,114,51,507,410
125,Rwanda,1337,144,1207,+7,+16,290,107,100,83,90,126,74,298,364
126,Nicaragua,1333,146,1031,+3,+4,253,63,100,90,54,167,32,258,621
127,Kuwait,1331,83,1468,+11,+39,762,269,176,317,321,248,193,1198,880
128,Azerbaijan,1321,107,1397,−10,−48,323,116,152,55,66,176,81,263,544
128,Zanzibar,1321,145,1119,+4,0,217,37,45,135,39,131,47,186,458
130,Mauritania,1317,155,1115,−3,−17,299,91,103,105,55,173,71,216,527
131,Cyprus,1314,102,1378,+5,+11,429,237,186,6,84,271,74,387,932
132,Tanzania,1313,117,1295,−24,−71,658,244,237,177,193,280,185,752,963
133,Martinique,1312,80,1458,−19,−61,371,136,125,110,167,116,88,676,488
134,Latvia,1305,87,1399,+7,+16,458,192,213,53,128,219,111,536,753
135,Namibia,1303,136,1272,−13,−53,304,102,121,81,77,135,92,295,424
136,Malaysia,1293,122,1288,+16,+40,929,390,241,298,362,356,211,1513,1348
136,Kyrgyzstan,1293,155,1203,−6,−32,191,48,74,69,55,105,31,208,337
138,Guyana,1292,104,1293,+12,+36,456,179,194,83,142,224,90,589,790
139,Liberia,1291,112,1342,+9,+28,341,145,144,52,90,175,76,315,520
139,Ethiopia,1291,99,1394,+5,+12,473,215,163,95,171,199,103,656,690
141,Tajikistan,1290,123,1334,−2,−1,211,56,84,71,80,86,45,304,296
142,Lebanon,1288,108,1333,−17,−51,421,140,144,137,123,186,112,507,621
143,New Caledonia,1286,103,1357,−1,+1,285,87,71,127,141,110,34,739,419
143,Lithuania,1286,92,1318,−6,−8,417,170,206,41,106,229,82,415,758
145,Burundi,1285,125,1285,−6,−6,241,52,89,100,74,112,55,274,334
146,Dominican Republic,1283,167,1060,−3,+2,190,86,64,40,69,89,32,301,307
147,Botswana,1267,150,1167,−24,−78,368,166,136,66,98,166,104,311,490
148,Moldova,1265,109,1391,−14,−55,301,115,145,41,60,172,69,246,522
149,Malta,1255,118,1322,+4,+4,456,246,183,27,66,314,76,298,1020
150,Guinea-Bissau,1248,126,1282,−4,−24,215,66,64,85,58,104,53,215,320
151,Central African Republic,1241,124,1295,−6,−37,163,32,67,64,36,93,34,181,323
152,Cuba,1239,84,1438,−1,−16,485,103,212,170,185,189,111,678,684
153,Malawi,1235,115,1327,−5,−28,699,306,244,149,232,265,202,816,901
154,French Guiana,1223,125,1246,+3,0,190,66,67,57,57,92,41,280,328
155,Mayotte,1216,157,1202,+4,0,41,2,11,28,13,17,11,55,59
156,Turkmenistan,1209,117,1358,+4,−6,187,42,76,69,71,82,34,288,281
157,Congo,1207,83,1471,0,−16,474,180,188,106,173,186,115,679,662
158,Eritrea,1201,164,1158,+7,+62,86,20,28,38,17,50,19,61,137
159,Lesotho,1198,151,1179,−5,−48,354,113,147,94,70,180,104,280,580
160,Yemen,1195,144,1212,+12,+86,295,56,87,152,66,173,56,304,573
161,Tahiti,1176,103,1386,0,0,254,58,71,125,136,82,36,693,383
162,Philippines,1169,135,1068,+7,+40,396,109,127,160,98,238,60,427,1022
163,Eswatini,1149,153,1168,−7,−75,324,123,131,70,71,158,95,297,542
164,St Vincent & Grenadines,1141,110,1322,0,−12,365,138,135,92,131,150,84,566,648
165,Papua New Guinea,1135,165,1091,+8,+31,165,30,43,92,54,80,31,352,356
165,Puerto Rico,1135,169,936,+6,+17,196,73,67,56,46,121,29,229,491
167,Singapore,1134,134,1227,+10,+70,772,322,185,265,242,373,157,1036,1396
168,Hong Kong,1122,123,1287,0,−9,513,183,151,179,178,233,102,816,871
168,India,1122,110,1341,−6,−36,611,177,171,263,220,263,128,837,1000
170,Vanuatu,1121,156,1104,+12,+76,226,53,51,122,71,124,31,402,483
171,Bermuda,1117,128,1283,−5,−20,236,106,82,48,79,112,45,375,417
172,South Sudan,1109,178,1087,−5,−24,81,18,29,34,13,52,16,55,145
173,Fiji,1101,129,1246,−18,−126,287,106,64,117,126,106,55,645,461
174,Grenada,1098,102,1370,0,+16,310,115,116,79,103,129,78,490,561
175,Andorra,1080,182,1050,+1,+14,231,92,106,33,15,184,32,77,543
176,Mauritius,1073,108,1335,−1,−3,359,124,151,84,100,174,85,450,572
176,Chad,1073,135,1244,−13,−82,182,45,59,78,35,105,42,165,340
176,Belize,1073,139,1114,+3,+15,129,44,44,41,32,74,23,138,245
179,Solomon Islands,1054,147,1183,−9,−72,223,59,62,102,94,92,37,480,428
180,Saint Martin,1042,187,982,+3,−1,86,18,36,32,33,44,9,136,191
181,Sao Tome and Principe,1035,174,1056,+3,−3,82,24,36,22,11,60,11,59,213
182,Saint Kitts and Nevis,1029,138,1174,−1,−20,252,121,80,51,104,101,47,431,396
183,Gibraltar,1011,178,1082,−3,−40,118,41,49,28,18,85,15,70,344
184,Somaliland,1005,188,1004,+2,0,2,0,0,2,1,0,1,4,3
185,Saint Lucia,1003,126,1240,0,−24,264,89,108,67,90,132,42,361,485
186,Western Sahara,996,189,996,+1,0,1,0,1,0,0,1,0,0,6
187,Myanmar,993,125,1244,+6,+51,553,119,138,296,219,230,104,898,953
188,Afghanistan,990,167,920,−10,−71,167,8,67,92,38,91,38,153,338
189,Somalia,979,166,1072,+10,+68,150,10,48,92,15,112,23,78,375
190,Aruba,978,125,1198,+7,+61,208,83,81,44,52,112,44,298,471
191,Sint Maarten,975,187,909,+3,+43,75,16,25,34,23,39,13,107,194
192,Montserrat,971,191,642,−4,−7,74,15,26,33,18,48,8,76,235
193,Greenland,946,185,975,−1,0,22,2,7,13,5,16,1,35,50
194,Bangladesh,942,181,980,+2,+17,327,92,97,138,88,166,73,300,584
195,Djibouti,940,178,872,0,+11,121,28,40,53,11,99,11,83,424
196,Dominica,934,132,1196,−7,−41,246,69,97,80,60,132,54,288,488
197,Monaco,903,199,900,+5,0,9,0,1,8,4,2,3,11,15
198,Barbados,898,121,1243,−7,−51,375,168,132,75,117,162,96,492,616
199,Liechtenstein,895,167,1113,+2,−11,259,115,125,19,19,208,32,104,726
200,Antigua and Barbuda,894,145,1178,0,−15,285,116,101,68,95,136,54,394,491
201,Nepal,893,190,889,−11,−62,295,74,91,130,68,174,53,247,665
202,Pakistan,880,154,1101,+6,+56,286,63,97,126,65,170,51,277,642
203,Seychelles,853,182,987,+1,+2,190,51,58,81,26,131,33,144,425
204,Cambodia,849,157,1058,+2,+14,317,81,93,143,72,200,45,365,816
205,Sri Lanka,827,161,932,+8,+82,284,70,89,125,57,177,50,274,692
206,San Marino,826,195,917,−1,−19,227,110,110,7,3,212,12,43,893
207,Taiwan,821,144,1169,−10,−96,339,96,109,134,96,191,52,465,788
208,Bonaire,816,150,1037,−2,−19,104,19,52,33,24,68,12,116,257
209,Maldives,801,191,884,−6,−71,241,65,82,94,67,135,39,289,538
210,Cayman Islands,800,183,1000,−1,−20,129,60,39,30,26,78,25,125,313
211,Chagos Islands,782,211,783,−1,0,4,0,0,4,1,2,1,8,10
212,Tuvalu,756,204,745,0,0,34,0,4,30,9,21,4,47,182
213,British Virgin Islands,743,207,788,+16,+116,139,35,63,41,24,91,24,129,402
214,Sint Eustatius,737,213,753,0,0,11,3,8,0,5,2,4,33,30
215,Laos,734,186,895,+7,+47,235,49,69,117,43,157,35,235,739
216,Samoa,728,211,659,0,0,77,28,15,34,23,50,4,109,279
217,Mongolia,725,190,842,−2,−4,102,22,39,41,21,70,11,100,288
217,Saint Barthelemy,725,217,706,0,0,10,7,3,0,4,5,1,25,29
219,East Timor,714,226,630,+5,+56,91,5,47,39,12,72,7,83,284
220,Guam,705,207,693,−2,−8,132,25,44,63,31,88,13,169,592
221,Wallis and Futuna,699,201,699,−2,0,24,0,5,19,5,19,0,23,109
222,Vatican,692,218,697,−2,0,5,0,0,5,0,3,2,1,6
223,Saba,691,223,675,−2,0,8,5,3,0,2,4,2,25,26
224,Bahamas,685,190,871,−14,−97,90,30,32,28,17,62,11,90,291
225,Saint Pierre and Miquelon,677,223,678,−2,0,7,0,0,7,0,7,0,2,78
226,Turks and Caicos Islands,657,211,765,0,+9,56,16,22,18,13,37,6,54,197
227,Anguilla,646,224,556,+4,+30,117,31,50,36,16,87,14,74,413
228,Bhutan,631,219,599,−1,−3,116,20,40,56,12,96,8,67,419
229,Tibet,629,208,665,−1,0,10,0,3,7,0,9,1,8,38
230,US Virgin Islands,628,219,685,+3,+41,81,27,35,19,10,58,13,55,300
231,Cook Islands,622,206,681,−1,0,56,4,14,38,13,39,4,50,276
232,Brunei,592,201,777,−7,−65,152,30,42,80,27,112,13,119,488
233,Macao,588,175,945,−1,−7,161,51,50,60,24,120,17,141,490
234,Christmas Island,578,228,577,0,0,10,6,4,0,7,2,1,29,8
235,Falkland Islands,571,229,585,0,0,4,0,1,3,0,4,0,0,25
236,FS Micronesia,563,231,571,0,0,8,1,3,4,1,7,0,8,64
237,Marshall Islands,559,237,559,−,−,2,0,0,2,0,2,0,2,7
238,Kiribati,544,219,578,−1,0,11,0,2,9,0,10,1,7,126
239,Tonga,520,213,651,−1,0,70,10,15,45,16,48,6,82,265
240,Niue,496,225,496,−1,0,2,0,0,2,0,2,0,0,33
241,Northern Mariana Islands,432,233,512,−1,0,36,7,11,18,5,28,3,43,153
242,Cocos Islands,422,235,423,−1,0,10,4,6,0,2,7,1,8,29
243,Palau,402,237,402,−1,0,2,2,0,0,0,2,0,3,27
244,Eastern Samoa,369,226,467,−1,−19,59,0,15,44,5,52,2,36,385
